time,nodeID,positionX,positionY,positionZ,quality
2026-01-13T15:58:07.285748,5720,NaN,NaN,NaN,0
2026-01-13T15:58:07.286803,87b0,23.597635,22.826761,0.18029377,96
2026-01-13T15:58:07.287618,4103,14.965039,16.855955,-1.5830964,89
2026-01-13T15:58:07.288295,d238,NaN,NaN,NaN,0
2026-01-13T15:58:07.288886,d200,NaN,NaN,NaN,0
2026-01-13T15:58:07.289456,d43a,16.691063,4.8666978,-0.27860019,95
2026-01-13T15:58:07.290076,d284,NaN,NaN,NaN,0
2026-01-13T15:58:07.290651,49a2,NaN,NaN,NaN,0
2026-01-13T15:58:07.291209,d2ad,NaN,NaN,NaN,0
2026-01-13T15:58:07.291951,4110,NaN,NaN,NaN,0
2026-01-13T15:58:07.292570,4c0f,NaN,NaN,NaN,0
2026-01-13T15:58:07.293065,1bb3,NaN,NaN,NaN,0
2026-01-13T15:58:07.329307,87b0,23.595219,22.837729,0.60239631,77
2026-01-13T15:58:07.330295,d284,NaN,NaN,NaN,0
2026-01-13T15:58:07.339450,5720,20.998465,22.870691,0.11817696,76
2026-01-13T15:58:07.345179,d238,NaN,NaN,NaN,0
2026-01-13T15:58:07.346068,4103,15.003973,16.812553,-1.63736,89
2026-01-13T15:58:07.381424,1bb3,NaN,NaN,NaN,0
2026-01-13T15:58:07.396283,d43a,NaN,NaN,NaN,0
2026-01-13T15:58:07.429313,87b0,23.592403,22.848734,0.94154352,76
2026-01-13T15:58:07.430255,5720,21.007998,22.888102,0.59149593,64
2026-01-13T15:58:07.438239,d238,NaN,NaN,NaN,0
2026-01-13T15:58:07.442639,4103,15.057354,16.777973,-1.7152573,89
2026-01-13T15:58:07.443563,d43a,NaN,NaN,NaN,0
2026-01-13T15:58:07.491558,d284,NaN,NaN,NaN,0
2026-01-13T15:58:07.492449,1bb3,NaN,NaN,NaN,0
2026-01-13T15:58:07.529466,d284,8.4153395,17.028643,-0.60725945,90
2026-01-13T15:58:07.531286,5720,21.025497,22.9047,0.952583,64
2026-01-13T15:58:07.534351,4103,NaN,NaN,NaN,0
2026-01-13T15:58:07.544097,d238,21.627546,25.523979,0.32079256,65
2026-01-13T15:58:07.545137,87b0,23.583897,22.838696,1.1488227,79
2026-01-13T15:58:07.545885,d43a,NaN,NaN,NaN,0
2026-01-13T15:58:07.581909,49a2,NaN,NaN,NaN,0
2026-01-13T15:58:07.583053,1bb3,NaN,NaN,NaN,0
2026-01-13T15:58:07.629311,5720,21.041691,22.921534,1.2160666,64
2026-01-13T15:58:07.635627,4103,NaN,NaN,NaN,0
2026-01-13T15:58:07.642276,87b0,23.587608,22.845133,1.3345605,77
2026-01-13T15:58:07.643386,d43a,NaN,NaN,NaN,0
2026-01-13T15:58:07.643984,d284,NaN,NaN,NaN,0
2026-01-13T15:58:07.644525,d238,21.595007,25.488071,0.57174939,61
2026-01-13T15:58:07.682371,49a2,NaN,NaN,NaN,0
2026-01-13T15:58:07.683062,1bb3,NaN,NaN,NaN,0
2026-01-13T15:58:07.729181,d284,9.0287991,16.980448,-0.076146789,93
2026-01-13T15:58:07.730817,5720,21.055235,22.927841,1.395103,65
2026-01-13T15:58:07.735898,87b0,23.586964,22.828417,1.4162126,81
2026-01-13T15:58:07.782313,4103,15.071589,16.736731,-0.87893111,89
2026-01-13T15:58:07.783764,49a2,NaN,NaN,NaN,0
2026-01-13T15:58:07.784788,1bb3,NaN,NaN,NaN,0
2026-01-13T15:58:07.785905,d43a,NaN,NaN,NaN,0
2026-01-13T15:58:07.786833,d238,21.564701,25.484573,0.77985561,60
2026-01-13T15:58:07.788032,4110,NaN,NaN,NaN,0
2026-01-13T15:58:07.830281,5720,21.058033,22.937551,1.5399656,64
2026-01-13T15:58:07.831678,87b0,23.601143,22.815689,1.4717067,82
2026-01-13T15:58:07.838840,49a2,NaN,NaN,NaN,0
2026-01-13T15:58:07.840290,1bb3,NaN,NaN,NaN,0
2026-01-13T15:58:07.841391,d284,9.4390316,16.938007,0.3297478,92
2026-01-13T15:58:07.881989,4103,15.065035,16.687136,-0.28095224,94
2026-01-13T15:58:07.883491,d238,NaN,NaN,NaN,0
2026-01-13T15:58:07.884678,d43a,16.649969,5.1265254,0.8089937,84
2026-01-13T15:58:07.930463,87b0,23.60148,22.810434,1.5135782,81
2026-01-13T15:58:07.931925,d284,9.788908,16.9113,-0.13137296,93
2026-01-13T15:58:07.933016,5720,21.052748,22.944187,1.6433035,64
2026-01-13T15:58:07.935621,d238,NaN,NaN,NaN,0
2026-01-13T15:58:07.950792,4103,15.050559,16.665932,0.22508597,93
2026-01-13T15:58:07.952839,d43a,16.789892,5.266242,0.095532261,84
2026-01-13T15:58:07.981639,49a2,NaN,NaN,NaN,0
2026-01-13T15:58:07.983018,1bb3,NaN,NaN,NaN,0
2026-01-13T15:58:08.030468,5720,NaN,NaN,NaN,0
2026-01-13T15:58:08.031676,87b0,23.585575,22.820831,1.6029413,77
2026-01-13T15:58:08.037703,4103,NaN,NaN,NaN,0
2026-01-13T15:58:08.038881,1bb3,NaN,NaN,NaN,0
2026-01-13T15:58:08.039858,49a2,NaN,NaN,NaN,0
2026-01-13T15:58:08.082214,d43a,16.947712,5.3883042,-0.47324276,84
2026-01-13T15:58:08.083597,d238,21.571985,25.478653,0.90390104,89
2026-01-13T15:58:08.131471,87b0,23.579592,22.82498,1.6369302,79
2026-01-13T15:58:08.133263,5720,NaN,NaN,NaN,0
2026-01-13T15:58:08.136928,4103,NaN,NaN,NaN,0
2026-01-13T15:58:08.140172,d238,21.574833,25.449217,1.0240109,58
2026-01-13T15:58:08.141775,d43a,17.085672,5.5162349,0.046733048,75
2026-01-13T15:58:08.143041,1bb3,NaN,NaN,NaN,0
2026-01-13T15:58:08.143995,49a2,NaN,NaN,NaN,0
2026-01-13T15:58:08.192564,d200,NaN,NaN,NaN,0
2026-01-13T15:58:08.230291,5720,NaN,NaN,NaN,0
2026-01-13T15:58:08.235005,1bb3,NaN,NaN,NaN,0
2026-01-13T15:58:08.241072,87b0,23.6059,22.834435,1.671814,80
2026-01-13T15:58:08.243495,d238,21.580753,25.442308,1.0902871,63
2026-01-13T15:58:08.244770,4103,NaN,NaN,NaN,0
2026-01-13T15:58:08.245768,d200,NaN,NaN,NaN,0
2026-01-13T15:58:08.246582,49a2,NaN,NaN,NaN,0
2026-01-13T15:58:08.247481,d284,NaN,NaN,NaN,0
2026-01-13T15:58:08.248449,d43a,NaN,NaN,NaN,0
2026-01-13T15:58:08.249317,4110,NaN,NaN,NaN,0
2026-01-13T15:58:08.330638,87b0,23.632387,22.819857,0.7890408,83
2026-01-13T15:58:08.332482,d238,21.602722,25.428612,1.1372244,63
2026-01-13T15:58:08.333513,4110,9.4165888,7.750948,0.0044270707,85
2026-01-13T15:58:08.334497,5720,NaN,NaN,NaN,0
2026-01-13T15:58:08.341936,4103,NaN,NaN,NaN,0
2026-01-13T15:58:08.345162,d43a,NaN,NaN,NaN,0
2026-01-13T15:58:08.346662,d284,NaN,NaN,NaN,0
2026-01-13T15:58:08.347560,1bb3,NaN,NaN,NaN,0
2026-01-13T15:58:08.382713,4110,9.4165888,7.750948,0.0044270707,85
2026-01-13T15:58:08.431287,5720,NaN,NaN,NaN,0
2026-01-13T15:58:08.432847,87b0,23.660406,22.841351,0.063226573,78
2026-01-13T15:58:08.434831,d238,21.592245,25.433935,1.1271094,71
2026-01-13T15:58:08.436118,4110,NaN,NaN,NaN,0
2026-01-13T15:58:08.438047,49a2,NaN,NaN,NaN,0
2026-01-13T15:58:08.439594,4103,NaN,NaN,NaN,0
2026-01-13T15:58:08.440877,1bb3,NaN,NaN,NaN,0
2026-01-13T15:58:08.483496,d43a,NaN,NaN,NaN,0
2026-01-13T15:58:08.484837,d284,NaN,NaN,NaN,0
2026-01-13T15:58:08.530994,87b0,23.640148,22.875309,0.57484782,77
2026-01-13T15:58:08.534146,5720,NaN,NaN,NaN,0
